RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
36312,Brooklyn,2023,8,4,3,45,34,22122,POINT (984352.5701271463 184795.5328561262),HAMILTON AVENUE,Centre Street,Court Street,NB
28844,Staten Island,2019,1,21,15,15,273,9012161,POINT (935233.717845998 141363.44202481076),KOREAN WAR VETS PARKWAY,Dead End,Dead end,SB
34380,Brooklyn,2022,2,25,12,30,3,35448,POINT (998665.0332924452 201046.8734041954),RICHARDSON STREET,Meeker Avenue,Leonard Street,WB
34903,Queens,2022,5,18,12,30,104,177615,POINT (1028931.8143046284 215115.26618027306),ROOSEVELT AVENUE BRIDGE,Flushing Line,Flushing Line,WB
30153,Queens,2019,3,26,16,15,182,146375,POINT (1066863.5604375903 213507.78845794866),UNION TURNPIKE,Langdale Street,Hewlett Street,EB
29023,Manhattan,2018,9,28,0,45,106,71036,POINT (1002563.6992227704 240983.67301294883),MACOMBS DAM BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
15800,Queens,2013,10,25,4,45,2,52883,POINT (1025775.9 199331),KESSEL ST,70 AV,71 AV,WB
15833,Manhattan,2013,12,12,22,45,275,32031,POINT (982741.7 208544.5),HUDSON ST,HORATIO ST,GANSEVOORT ST,SB
34045,Bronx,2021,11,10,14,0,33,262263,POINT (1015892.5026529778 258724.41358551348),GRAND CONCOURSE,Dead End,Connector,SB
12453,Queens,2010,6,13,9,45,72,68058,POINT (1008381.6 211067.6),SKILLMAN AVE BET 51ST & 52ND STS,51 ST,52 ST,WB
19022,Queens,2014,12,4,18,30,34,57936,POINT (1047815.5027307677 155677.06568182554),ROCKAWAY FREEWAY,Beach 38 Street,Dead end,EB
33905,Manhattan,2021,10,23,20,30,211,72887,POINT (1007807.3102189016 253610.3799800104),UNIVERSITY HEIGHTS BRIDGE,Harlem River Shoreline,Harlem River Shoreline,WB
7205,Queens,2010,10,28,4,15,5,152681,POINT (1038382 208766.7),N/B 164 ST @ 59 AVE,HOR HARDING EXWY SR N,59 AV,NB
17976,Manhattan,2014,10,6,1,30,162,9009662,POINT (991748.2123015949 203360.1407124864),F D R DRIVE,East 10 Street Pedestrian Ovps,Dead end,SB
36401,Queens,2023,6,25,9,45,428,62497,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,Hook Creek Shoreline,Dead end,NB
25058,Brooklyn,2016,12,20,14,0,11,44605,POINT (1003291.0680689753 196129.74205937548),THAMES STREET,Vandervoort Place,Morgan Avenue,WB
16539,Brooklyn,2014,1,26,10,45,2,128138,POINT (1008041.8 169700.2),PAERDEGAT AV N,PAERDEGAT 1 ST/E 77 ST,E 76 ST,SB
28006,Queens,2018,6,16,16,30,389,147123,POINT (1029480.264085089 217221.322356102),FLUSHING BRIDGE,Dead End,Flushing River Shoreline,WB
15296,Manhattan,2013,6,24,3,15,37,158725,POINT (998003.8 240509.5),BROADWAY,W 145 ST,W 146 ST,SB
31621,Brooklyn,2019,12,4,1,0,2,128076,POINT (1005013.7106347297 162534.2281513231),EAST 51 STREET,Avenue S,Alley,NB
19325,Bronx,2015,2,19,1,30,12,86028,POINT (1021413.1654866378 247276.80198034167),MORRIS PARK AVENUE,Hunt Avenue,White Plains Road,WB
17759,Manhattan,2014,8,13,5,15,19,37254,POINT (991599.8 228887.3),WEST END AV,W 95 ST,W 96 ST,SB
1251,Queens,2011,6,26,7,15,18,130062,POINT (1011921.2 205634.9),65 PL,53 DR,53 AV,NB
24026,Brooklyn,2016,7,23,3,0,1,20651,POINT (979999.6068033897 177580.5938813863),1 AVENUE,43 Street,44 Street,SB
2996,Queens,2010,3,5,4,30,14,169324,POINT (1023362.8 198604.4),E/B METROPOLITAN AVE@TROTTING COURSE LAN,TROTTING COURSE LA,WOODHAVEN BLVD,EB
22851,Brooklyn,2016,3,8,6,30,174,158075,POINT (987903.9336748298 192853.81164344857),TILLARY STREET,8 Avenue Line,Bridge Street,EB
7506,Brooklyn,2009,2,9,14,15,0,196545,POINT (987989 184498.8),S/B 4 AVE @ 5 ST,5 ST,3 ST,SB
11188,Manhattan,2012,11,9,1,15,144,24099,POINT (986837.2 196980.2),MANHATTAN BRIDGE,BOROUGH BOUNDARY,BODY OF WATER,EW
22099,Bronx,2015,11,17,6,0,6,73061,POINT (1009283.3118627957 251058.729155191),WEST 180 STREET,Harrison Avenue,Aqueduct Avenue East,WB
7233,Bronx,2010,12,17,18,45,131,147365,POINT (1027362.9 246203.9),E/B WILLIAMSBRIDGE RD @ E TREMONT AVE,E TREMONT AV/ROBERTS AV,E TREMONT AV,EB
32970,Bronx,2021,4,13,7,30,38,88877,POINT (1020730.3574720748 268185.90006251127),VAN CORTLANDT PARK EAST,Dead End,Dead end,NB
30153,Queens,2019,3,31,11,0,408,64066,POINT (1059487.6292846524 181863.808161702),SUNRISE HIGHWAY,Dead End,Hook Creek Boulevard,WB
12557,Manhattan,2009,9,10,8,45,135,166550,POINT (998953.5 233790.6),LENOX AVE & W 125th ST,7 AVENUE,LENOX AVENUE,EB
21198,Queens,2015,10,7,4,30,52,254676,POINT (1000077.4410025474 211425.83073652384),JACKSON AVENUE,Court Square,44 Drive,WB
12540,Brooklyn,2010,1,24,21,15,87,20489,POINT (989660.4 163238.3),BAY PKWY SB BET 63rd ST & 64th ST,64 ST,63 ST,SB
32970,Queens,2021,4,6,13,30,73,62211,POINT (1055108.9938887337 161625.57818784998),CENTRAL AVENUE,Dead End,Virginia Street,EB
35772,Brooklyn,2022,12,7,2,30,10,152674,POINT (1004400.0813511983 199432.38255963763),METROPOLITAN AVENUE,Stewart Avenue,Gardner Avenue,EB
17447,Queens,2014,6,18,1,0,1,90610,POINT (1037356.1 200863.7),PARSONS BLVD,VILLAGE RD,GOETHALS AV,WB
7603,Bronx,2009,12,18,22,45,30,88467,POINT (1027560 253790.5),EASTCHESTER RD @ ALLERTON AVE,MACE AV,FIELDING ST,SB
32384,Manhattan,2020,10,24,19,45,238,72887,POINT (1007807.3102189016 253610.3799800104),UNIVERSITY HEIGHTS BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
12551,Staten Island,2011,10,27,19,0,153,13103,POINT (956232.8 161852.3),LITTLE CLOVE RD BET GAYUGA & SENCECA AVE,SENECA AV,CAYUGA AV/SIE WB EN CLOVE RD,WB
11184,Brooklyn,2012,11,11,16,30,19,127180,POINT (989204.8 166780.1),54 ST,19 AV,18 AV,EB
8893,Staten Island,2012,1,11,22,0,45,8494,POINT (941863 167220.2),Forest Ave,Eunice Place,Simonson Ave,WB
1455,Staten Island,2010,2,27,10,15,0,2120,POINT (929680.2 134435.7),S/B ELLSWORTH AVE @  DRUMGOOLE RD W,DARLINGTON AV,CARLTON CT/DRUMGOOLE RD W,SB
19470,Queens,2015,5,3,22,0,79,156766,POINT (1030272.8292895834 173000.0975315702),NORTH CHANNEL BRIDGE,Dead End,Cross Bay Boulevard,NB
12576,Queens,2011,4,13,10,0,114,176936,POINT (1021697.3 205420),63rd AVE BET QUEENS BLVD & SAUNDERS ST,SAUNDERS ST,QUEENS BLVD,SB
30520,Manhattan,2019,6,11,12,30,37,9003111,POINT (989807.2125456999 200723.88290909075),COLUMBIA STREET,Dead End,Dead end,SB
